who_term,best_abpath_match,score,bucket,source,note
BST::Soft_Tissue::Smooth_Muscle::Inflammatory_Leiomyosarcoma,BST::Soft_Tissue::Smooth_Muscle::Malignant::Inflammatory_Leiomyosarcoma,92,accepted,who,
BST::Soft_Tissue::Smooth_Muscle::Leiomyoma,BST::Soft_Tissue::Smooth_Muscle::Malignant::Leiomyosarcoma,84,review,who,
BST::Soft_Tissue::Uncertain_Diff::Alveolar_Soft_Part_Sarcoma,BST::Soft_Tissue::Uncertain_Diff::Malignant::Alveolar_Soft_Part_Sarcoma,92,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Angiomatoid_Fibrous_Histiocytoma,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Angiomatoid_Fibrous_Histiocytoma,77,rejected,who,
BST::Soft_Tissue::Uncertain_Diff::Atypical_Fibroxanthoma,BST::Soft_Tissue::Uncertain_Diff::Benign::Superficial_Angiomyxoma,74,rejected,who,
BST::Soft_Tissue::Uncertain_Diff::Clear_Cell_Sarcoma_of_Soft_Tissue,BST::Soft_Tissue::Uncertain_Diff::Malignant::Clear_Cell_Sarcoma_Soft_Tissue,90,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Deep_aggressive_Angiomyxoma,BST::Soft_Tissue::Uncertain_Diff::Intermediate::Deep_Aggressive_Angiomyxoma,90,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Extrarenal_Rhabdoid_Tumor,BST::Soft_Tissue::Uncertain_Diff::Malignant::Extrarenal_Rhabdoid_Tumor,91,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Hemosiderotic_Fibrolipomatous_Tumor,BST::Soft_Tissue::Adipocytic::Intermediate::Hemosiderotic_Fibrolipomatous_Tumor,81,review,who,
BST::Soft_Tissue::Uncertain_Diff::Intimal_Sarcoma,BST::Soft_Tissue::Uncertain_Diff::Malignant::Synovial_Sarcoma_Biphasic,81,review,who,
BST::Soft_Tissue::Uncertain_Diff::Intramuscular_Myxoma,BST::Soft_Tissue::Uncertain_Diff::Benign::Intramuscular_Myxoma,93,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Juxta_Articular_Myxoma,BST::Soft_Tissue::Uncertain_Diff::Benign::Juxta_Articular_Myxoma,93,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Myoepithelioma_Myoepithelial_Carcinoma_and_Mixed_Tumor,BST::Soft_Tissue::Uncertain_Diff::Malignant::Epithelioid_Sarcoma,67,rejected,who,
BST::Soft_Tissue::Uncertain_Diff::NTRK_Rearranged_Spindle_Cell_Neoplasm_emerging_,BST::Soft_Tissue::Uncertain_Diff::Malignant::NTRK_Rearranged_Spindle_Cell_Neoplasm,87,review,who,
BST::Soft_Tissue::Uncertain_Diff::Ossifying_Fibromyxoid_Tumor,BST::Soft_Tissue::Uncertain_Diff::Intermediate::Ossifying_Fibromyxoid_Tumor,90,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::PEComa,BST::Soft_Tissue::Uncertain_Diff::Malignant::PEComa_Malignant,79,rejected,who,
BST::Soft_Tissue::Uncertain_Diff::Phosphaturic_Mesenchymal_Tumor,BST::Soft_Tissue::Uncertain_Diff::Intermediate::Phosphaturic_Mesenchymal_Tumor,90,accepted,who,
BST::Soft_Tissue::Uncertain_Diff::Pleomorphic_Hyalinizing_Angiectatic_Tumor_of_Soft_Parts,BST::Soft_Tissue::Uncertain_Diff::Intermediate::Pleomorphic_Hyalinizing_Angiectatic_Tumor,84,review,who,
BST::Soft_Tissue::Uncertain_Diff::Undifferentiated_Sarcoma,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Pleomorphic_Sarcoma,83,review,who,
BST::Soft_Tissue::Vascular::Anastomosing_Hemangioma,BST::Soft_Tissue::Vascular::Benign::Anastomosing_Hemangioma,93,accepted,who,
