record_id,source,original_tag,rejection_reason,title,input_path
textbooks:tbchunk:derm_elston:derm_elston_p0327_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0327_fig002_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0328_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0328_fig002_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0329_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0330_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0331_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0332_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0333_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0334_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0337_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0338_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0338_fig002_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0341_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0345_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0347_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0350_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0351_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0351_fig002_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0352_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0352_fig002_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0353_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0356_fig001_caption,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0370_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0370_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0370_fig003_caption,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0388_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0388_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
