tag,root,record_count
Cyto_Thyroid::Category::Benign_Follicular_Nodule,Cyto_Thyroid,107
Breast::Neoplastic::Epithelial::Malignant::Metaplastic_Carcinoma,Breast,106
Cyto_Urinary::Concept::Collection_Techniques_and_Preparations,Cyto_Urinary,106
GYN::Cervix::Neoplastic::Metastatic::Secondary_Tumors,GYN::Cervix,106
Skin::Infectious::Bacterial::Leprosy,Skin,106
BST::Bone::Notochordal::Malignant::Chordoma_Conventional,BST,105
Cyto_Thyroid::Malignant::Papillary::Papillary_Thyroid_Carcinoma_Classic,Cyto_Thyroid,105
HN::Sinonasal::Mesenchymal::Sinonasal_Tract_Angiofibroma,HN,105
Molecular::Technique::PCR::Allele_Specific_PCR,Molecular,105
Skin::Infectious::Fungal::Coccidioidomycosis_Cutaneous,Skin,105
Skin::Neoplastic::Soft_Tissue::Fibrous::Dermatofibroma_Benign_Fibrous_Histiocytoma,Skin,105
GI::Stomach::Polyp::Adenoma::Gastric_Pyloric_Gland_Adenoma,GI,104
Heme::Hodgkin_Lymphoma::Classic_Hodgkin_Lymphoma,Heme,104
GYN::Ovary::Neoplastic::Epithelial::Malignant::High_Grade_Serous_Adenocarcinoma,GYN::Ovary,103
HN::Oral_Cavity::Non_Neoplastic::Oral_Melanoacanthoma,HN,103
Skin::Inflammatory::Interface::Lupus_Erythematosus_Systemic_SLE,Skin,103
Skin::Neoplastic::Metastatic::Metastatic_Malignant_Melanoma,Skin,103
BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing,BST,102
GI::Stomach::Depositional_Metabolic::Gastric_Iron_Pill_Induced_Gastropathy,GI,102
Skin::Neoplastic::Soft_Tissue::Vascular::Angiosarcoma_Cutaneous,Skin,102
Breast::Male_Tumors::Epithelial::Gynecomastia,Breast,101
HN::Soft_Tissue::Fibroblastic_Myofibroblastic::Nodular_Fasciitis,HN,101
